Temperature,Vdd,Uniqueness
80,1.49,49.80325789473685
80,1.5,49.771636842105245
80,1.51,49.79591578947369
80,1.52,49.81491578947366
80,1.53,49.80729473684214
80,1.54,49.831884210526276
80,1.55,49.83518421052629
80,1.56,49.82916842105262
80,1.57,49.82164210526313
80,1.58,49.833515789473665
80,1.59,49.81016315789473
80,1.6,49.81166315789475
80,1.61,49.81338421052631
80,1.62,49.8179157894737
80,1.63,49.81455789473681
80,1.64,49.83987368421053
80,1.65,49.818421052631585
80,1.66,49.8179052631579
80,1.67,49.806742105263154
80,1.68,49.84332631578949
80,1.69,49.81552105263156
80,1.7,49.85066842105261
80,1.71,49.83296842105264
80,1.72,49.830084210526316
80,1.73,49.84175789473684
80,1.74,49.83265263157894
80,1.75,49.812442105263166
80,1.76,49.85628421052633
80,1.77,49.84745263157895
80,1.78,49.847873684210526
80,1.79,49.82253157894737
80,1.8,49.85467368421052
80,1.81,49.846989473684225
80,1.82,49.8447894736842
80,1.83,49.854247368421056
80,1.84,49.853031578947366
80,1.85,49.8606894736842
80,1.86,49.86432105263158
80,1.87,49.85043684210527
80,1.88,49.83665263157894
80,1.89,49.86909999999998
80,1.9,49.849431578947346
80,1.91,49.84473157894732
80,1.92,49.87131578947372
80,1.93,49.866799999999955
80,1.94,49.851278947368435
80,1.95,49.89387894736841
80,1.96,49.86545263157895
80,1.97,49.85685263157894
80,1.98,49.890894736842114
80,1.99,49.870300000000015
80,2.0,49.85662631578946
80,2.01,49.884210526315805
80,2.02,49.89461052631579
80,2.03,49.869084210526324
80,2.04,49.877026315789514
80,2.05,49.88835789473684
80,2.06,49.86261052631581
80,2.07,49.87447368421052
80,2.08,49.88527368421053
80,2.09,49.88008947368422
80,2.1,49.90688421052633
80,2.11,49.88499473684212
80,2.12,49.88621578947371
80,2.13,49.889294736842096
80,2.14,49.8973789473684
80,2.15,49.9177315789474
80,2.16,49.910484210526306
80,2.17,49.87742105263159
80,2.18,49.90708421052636
80,2.19,49.90575263157895
80,2.2,49.90428421052632
80,2.21,49.91056842105262
80,2.22,49.88635789473683
80,2.23,49.90268947368419
80,2.24,49.89745263157895
80,2.25,49.91715789473682
80,2.26,49.915294736842085
80,2.27,49.916584210526324
80,2.28,49.90694210526317
80,2.29,49.92548947368421
80,2.3,49.93656315789472
80,2.31,49.91561578947368
80,2.32,49.93656315789474
80,2.33,49.92317894736845
80,2.34,49.931673684210566
80,2.35,49.919868421052605
80,2.36,49.94240526315793
80,2.37,49.942826315789524
80,2.38,49.93766842105265
80,2.39,49.946289473684196
80,2.4,49.945947368421024
80,2.41,49.94346315789474
80,2.42,49.94584210526316
80,2.43,49.94843157894737
80,2.44,49.93986842105262
80,2.45,49.95329473684212
80,2.46,49.952026315789475
80,2.47,49.970457894736796
80,2.48,49.976584210526326
80,2.49,49.96188421052628
80,2.5,49.96846315789472
80,2.51,49.98513684210526
80,2.52,49.96746842105264
80,2.53,49.96171578947368
80,2.54,49.9736
80,2.55,49.96121052631578
80,2.56,49.961636842105236
80,2.57,49.96849473684212
80,2.58,49.96365789473687
80,2.59,49.98389999999999
80,2.6,49.99079999999998
80,2.61,49.986310526315826
80,2.62,49.99503684210528
80,2.63,49.985168421052656
80,2.64,50.004300000000015
80,2.65,49.98864210526318
80,2.66,49.984031578947366
80,2.67,50.001647368421054
80,2.68,49.9880684210526
80,2.69,50.011505263157886
80,2.7,50.00177894736839
80,2.71,49.996563157894755
80,2.72,49.986615789473674
80,2.73,50.009499999999996
80,2.74,50.00853157894738
80,2.75,50.023826315789485
80,2.76,50.0327736842105
80,2.77,50.01200526315789
80,2.78,50.008384210526344
80,2.79,50.03406842105262
80,2.8,50.04154736842106
80,2.81,49.999036842105276
80,2.82,50.02177894736841
80,2.83,50.03534736842107
80,2.84,50.04033684210528
80,2.85,50.023221052631584
80,2.86,50.04777894736841
80,2.87,50.01432105263157
80,2.88,50.03379473684212
80,2.89,50.039621052631574
80,2.9,50.046936842105275
80,2.91,50.05041578947367
80,2.92,50.04678421052632
80,2.93,50.03189473684214
80,2.94,50.06075789473684
80,2.95,50.04632105263161
80,2.96,50.059547368421065
80,2.97,50.07168421052629
80,2.98,50.059221052631564
80,2.99,50.06478947368418
80,3.0,50.07942105263159
